zcta,population,poverty,poverty_under18,poverty_18to65,poverty_over65,education,work_experience,working_fulltime,working_fulltime_poverty
43347,1484,128,8,76,44,955,1134,139,0
43348,1941,449,154,252,43,1308,1487,100,2
43351,10318,1461,431,839,191,7192,8250,649,78
43356,994,118,77,39,2,707,763,55,0
43357,4430,163,35,100,28,2864,3329,170,10
43358,2894,418,166,234,18,1916,2151,206,0
43359,711,70,29,41,0,497,600,68,0
43360,1392,118,61,57,0,924,1017,115,3
43402,31312,8730,1008,7603,119,17425,26259,3131,260
43403,0,0,0,0,0,0,0,0,0
43406,1743,260,111,149,0,1134,1338,78,0
43407,856,51,8,36,7,531,651,86,0
43408,290,83,40,38,5,176,215,11,0
43410,10282,1408,510,859,39,6985,8180,613,43
43412,4304,347,75,206,66,2947,3520,357,40
43413,1402,100,30,57,13,950,1106,48,0
43416,2949,295,14,235,46,2070,2351,107,0
43420,29893,4798,1698,2635,465,20567,23746,1993,70
43430,4748,442,202,216,24,3264,3834,251,18
43431,4445,513,150,290,73,2877,3426,261,20
43432,1350,0,0,0,0,956,1120,0,0
43433,96,0,0,0,0,44,71,0,0
43434,250,104,68,34,2,144,158,1,0
43435,1264,107,32,75,0,877,1071,111,11
43437,473,88,36,49,3,288,330,39,0
43438,177,8,0,6,2,177,177,14,2
43439,90,71,0,48,23,86,88,0,0
43440,4844,369,120,198,51,4011,4366,285,12
43442,1153,233,27,204,2,799,952,41,2
43443,1801,141,73,62,6,1183,1399,86,7
43445,1171,180,97,83,0,746,883,21,0
43446,135,0,0,0,0,120,126,13,0
43447,3464,225,93,118,14,2289,2632,115,2
43449,8461,646,180,382,84,6099,6903,641,14
43450,3757,435,184,193,58,2503,2909,105,9
43451,1001,112,40,63,9,678,772,71,0
43452,13448,2128,693,1197,238,9886,11069,775,59
43456,536,34,3,16,15,448,466,60,0
43457,1331,240,117,105,18,874,1055,79,6
43458,312,35,5,26,4,223,250,17,0
43460,6334,505,111,378,16,4297,5160,650,15
