	id	state	COUNTY	GEO_TTL	relevant_naics	NAICS2012_TTL	NAICS_Sector	estab	emp	payann	estimate
502	13011	13	11	Banks County, Georgia	4482	Shoe stores	44	3.6	43.8	940.4	
509	13011	13	11	Banks County, Georgia	4541	Electronic shopping and mail-order houses	45	2.6	1.8	72.4	
511	13011	13	11	Banks County, Georgia	4841	General freight trucking	48	5.2	4.8	521.2	
512	13011	13	11	Banks County, Georgia	4842	Specialized freight trucking	48	5.2	11.2	324.8	
519	13011	13	11	Banks County, Georgia	5221	Depository credit intermediation	52	5.2	22.0	974.4	
520	13011	13	11	Banks County, Georgia	5222	Nondepository credit intermediation	52	2.8	2.6	119.2	
524	13011	13	11	Banks County, Georgia	5312	Offices of real estate agents and brokers	53	1.5	1.0	28.5	
529	13011	13	11	Banks County, Georgia	5412	Accounting, tax preparation, bookkeeping, and payroll services	54	4.0	1.6	110.6	
530	13011	13	11	Banks County, Georgia	5413	Architectural, engineering, and related services	54	3.8	2.0	54.2	
531	13011	13	11	Banks County, Georgia	5415	Computer systems design and related services	54	3.4	8.8	711.2	
536	13011	13	11	Banks County, Georgia	5617	Services to buildings and dwellings	56	4.6	9.6	340.4	
541	13011	13	11	Banks County, Georgia	6211	Offices of physicians	62	6.6	33.2	1573.0	
543	13011	13	11	Banks County, Georgia	6213	Offices of other health practitioners	62	2.6	0.0	73.8	
548	13011	13	11	Banks County, Georgia	7139	Other amusement and recreation industries	71	2.4	7.2	157.0	
549	13011	13	11	Banks County, Georgia	7211	Traveler accommodation	72	11.8	133.0	1861.0	
551	13011	13	11	Banks County, Georgia	7225	Restaurants and other eating places	72	31.0	849.4	11836.2	
552	13011	13	11	Banks County, Georgia	8111	Automotive repair and maintenance	81	3.2	4.0	135.2	
554	13011	13	11	Banks County, Georgia	8113	Commercial and industrial machinery and equipment (except automotive and electronic) repair and maintenance	81	1.4	1.4	77.8	
555	13011	13	11	Banks County, Georgia	8121	Personal care services	81	4.0	11.8	216.2	
558	13011	13	11	Banks County, Georgia	8131	Religious organizations	81	15.0	41.4	1110.6	
565	13013	13	13	Barrow County, Georgia	2361	Residential building construction	23	25.4	34.8	1815.4	
566	13013	13	13	Barrow County, Georgia	2362	Nonresidential building construction	23	6.0	14.8	926.0	
567	13013	13	13	Barrow County, Georgia	2371	Utility system construction	23	8.0	106.6	4167.2	
568	13013	13	13	Barrow County, Georgia	2373	Highway, street, and bridge construction	23	4.0	73.2	3358.8	
569	13013	13	13	Barrow County, Georgia	2381	Foundation, structure, and building exterior contractors	23	24.8	118.6	6912.6	
570	13013	13	13	Barrow County, Georgia	2382	Building equipment contractors	23	42.6	297.6	13800.0	
571	13013	13	13	Barrow County, Georgia	2383	Building finishing contractors	23	15.6	24.4	1151.6	
572	13013	13	13	Barrow County, Georgia	2389	Other specialty trade contractors	23	14.6	324.6	13826.0	
582	13013	13	13	Barrow County, Georgia	3219	Other wood product manufacturing	32	3.8	91.6	2928.0	
584	13013	13	13	Barrow County, Georgia	3231	Printing and related support activities	32	2.4	0.0	33.6	
588	13013	13	13	Barrow County, Georgia	3261	Plastics product manufacturing	32	4.0	84.8	3099.2	
596	13013	13	13	Barrow County, Georgia	3327	Machine shops; turned product; and screw, nut, and bolt manufacturing	33	8.4	56.6	2331.2	
607	13013	13	13	Barrow County, Georgia	3363	Motor vehicle parts manufacturing	33	2.8	1.2	158.8	
611	13013	13	13	Barrow County, Georgia	3371	Household and institutional furniture and kitchen cabinet manufacturing	33	5.2	42.4	1455.2	
613	13013	13	13	Barrow County, Georgia	3391	Medical equipment and supplies manufacturing	33	2.0	1.6	29.6	
614	13013	13	13	Barrow County, Georgia	3399	Other miscellaneous manufacturing	33	3.0	3.2	165.0	
617	13013	13	13	Barrow County, Georgia	4233	Lumber and other construction materials merchant wholesalers	42	6.6	199.4	11271.2	
618	13013	13	13	Barrow County, Georgia	4234	Professional and commercial equipment and supplies merchant wholesalers	42	3.4	4.6	563.0	
619	13013	13	13	Barrow County, Georgia	4235	Metal and mineral (except petroleum) merchant wholesalers	42	4.4	74.8	5237.6	
620	13013	13	13	Barrow County, Georgia	4236	Household appliances and electrical and electronic goods merchant wholesalers	42	2.4	3.0	102.2	
621	13013	13	13	Barrow County, Georgia	4237	Hardware, plumbing and heating equipment and supplies merchant wholesalers	42	3.0	7.6	343.2	
622	13013	13	13	Barrow County, Georgia	4238	Machinery, equipment, and supplies merchant wholesalers	42	15.6	138.0	8490.2	
625	13013	13	13	Barrow County, Georgia	4244	Grocery and related product merchant wholesalers	42	5.8	10.8	430.4	
629	13013	13	13	Barrow County, Georgia	4249	Miscellaneous nondurable goods merchant wholesalers	42	3.6	4.0	177.8	
630	13013	13	13	Barrow County, Georgia	4251	Wholesale electronic markets and agents and brokers	42	6.4	31.8	1875.6	
633	13013	13	13	Barrow County, Georgia	4413	Automotive parts, accessories, and tire stores	44	14.2	62.2	2620.4	
634	13013	13	13	Barrow County, Georgia	4421	Furniture stores	44	4.0	30.0	782.8	
635	13013	13	13	Barrow County, Georgia	4422	Home furnishings stores	44	3.2	14.4	228.2	
636	13013	13	13	Barrow County, Georgia	4431	Electronics and appliance stores	44	4.8	7.2	479.6	
637	13013	13	13	Barrow County, Georgia	4441	Building material and supplies dealers	44	13.0	293.4	8328.0	
638	13013	13	13	Barrow County, Georgia	4442	Lawn and garden equipment and supplies stores	44	3.6	12.4	500.8	
639	13013	13	13	Barrow County, Georgia	4451	Grocery stores	44	20.0	718.6	14061.8	
640	13013	13	13	Barrow County, Georgia	4452	Specialty food stores	44	2.4	0.0	28.2	
641	13013	13	13	Barrow County, Georgia	4453	Beer, wine, and liquor stores	44	7.8	19.0	481.6	
642	13013	13	13	Barrow County, Georgia	4461	Health and personal care stores	44	12.6	79.4	3165.6	
643	13013	13	13	Barrow County, Georgia	4471	Gasoline stations	44	42.2	140.0	2268.8	
644	13013	13	13	Barrow County, Georgia	4481	Clothing stores	44	6.2	49.8	519.4	
645	13013	13	13	Barrow County, Georgia	4482	Shoe stores	44	3.0	6.4	241.8	
646	13013	13	13	Barrow County, Georgia	4483	Jewelry, luggage, and leather goods stores	44	3.6	4.4	287.6	
647	13013	13	13	Barrow County, Georgia	4511	Sporting goods, hobby, and musical instrument stores	45	3.6	12.6	259.2	
650	13013	13	13	Barrow County, Georgia	4531	Florists	45	2.2	1.0	16.2	
653	13013	13	13	Barrow County, Georgia	4539	Other miscellaneous store retailers	45	3.4	18.4	379.4	
654	13013	13	13	Barrow County, Georgia	4541	Electronic shopping and mail-order houses	45	4.8	8.0	406.4	
656	13013	13	13	Barrow County, Georgia	4543	Direct selling establishments	45	4.0	17.8	500.0	
